city,datetime,temp_f,humidity,precip_in,date,year,month,day,temp_c
Springfield,2022-03-03,62.2,81.9,0.1,2022-03-03,2022,3,3,16.8
Springfield,2022-03-05,47.1,90.0,0.0,2022-03-05,2022,3,5,8.4
Springfield,2022-03-06,77.2,89.8,0.3,2022-03-06,2022,3,6,25.1
Springfield,2022-03-07,85.3,63.3,0.0,2022-03-07,2022,3,7,29.6
Springfield,2022-03-08,63.9,76.1,0.0,2022-03-08,2022,3,8,17.7
Springfield,2022-03-10,70.4,81.0,0.0,2022-03-10,2022,3,10,21.3
Springfield,2022-03-11,55.3,44.8,0.0,2022-03-11,2022,3,11,12.9
Springfield,2022-03-12,70.4,57.0,0.0,2022-03-12,2022,3,12,21.3
Springfield,2022-03-13,88.1,37.7,0.0,2022-03-13,2022,3,13,31.2
Springfield,2022-03-14,64.5,87.2,0.3,2022-03-14,2022,3,14,18.1
Springfield,2022-03-15,88.5,66.4,0.3,2022-03-15,2022,3,15,31.4
Springfield,2022-03-16,25.7,43.7,0.0,2022-03-16,2022,3,16,-3.5
Springfield,2022-03-17,77.3,70.3,0.0,2022-03-17,2022,3,17,25.2
Springfield,2022-03-18,66.3,67.1,0.0,2022-03-18,2022,3,18,19.1
Springfield,2022-03-19,60.5,51.5,0.0,2022-03-19,2022,3,19,15.8
Springfield,2022-03-20,66.4,36.8,0.0,2022-03-20,2022,3,20,19.1
Springfield,2022-03-21,35.2,70.3,0.1,2022-03-21,2022,3,21,1.8
Springfield,2022-03-22,61.7,61.2,0.0,2022-03-22,2022,3,22,16.5
Springfield,2022-03-23,70.4,76.3,0.0,2022-03-23,2022,3,23,21.3
Springfield,2022-03-24,87.2,61.2,0.0,2022-03-24,2022,3,24,30.7
Springfield,2022-03-25,57.2,81.1,0.0,2022-03-25,2022,3,25,14.0
Springfield,2022-03-26,52.9,63.1,0.5,2022-03-26,2022,3,26,11.6
Springfield,2022-03-27,57.5,63.7,0.1,2022-03-27,2022,3,27,14.2
Springfield,2022-03-28,78.7,82.6,0.0,2022-03-28,2022,3,28,25.9
Springfield,2022-03-29,69.9,54.2,0.3,2022-03-29,2022,3,29,21.1
Springfield,2022-03-30,57.1,38.0,0.0,2022-03-30,2022,3,30,13.9
Springfield,2022-03-31,72.7,31.7,0.3,2022-03-31,2022,3,31,22.6
Springfield,2022-04-01,66.5,75.3,0.1,2022-04-01,2022,4,1,19.2
Springfield,2022-04-02,79.5,67.2,0.0,2022-04-02,2022,4,2,26.4
Springfield,2022-04-03,54.5,72.2,0.0,2022-04-03,2022,4,3,12.5
Springfield,2022-04-04,60.1,42.8,0.0,2022-04-04,2022,4,4,15.6
Springfield,2022-04-05,59.1,38.2,0.0,2022-04-05,2022,4,5,15.1
Springfield,2022-04-06,43.0,30.9,0.1,2022-04-06,2022,4,6,6.1
Springfield,2022-04-07,69.4,51.0,0.0,2022-04-07,2022,4,7,20.8
Springfield,2022-04-08,68.9,65.4,0.0,2022-04-08,2022,4,8,20.5
Springfield,2022-04-09,65.1,53.5,0.3,2022-04-09,2022,4,9,18.4
Springfield,2022-04-10,61.5,56.2,1.0,2022-04-10,2022,4,10,16.4
Springfield,2022-04-11,43.8,84.2,0.0,2022-04-11,2022,4,11,6.6
Springfield,2022-04-12,58.7,50.9,0.0,2022-04-12,2022,4,12,14.8
Springfield,2022-04-13,59.9,60.8,0.0,2022-04-13,2022,4,13,15.5
Springfield,2022-04-14,53.0,77.0,0.0,2022-04-14,2022,4,14,11.7
Springfield,2022-04-15,62.6,53.8,0.5,2022-04-15,2022,4,15,17.0
Springfield,2022-04-16,71.1,67.3,0.0,2022-04-16,2022,4,16,21.7
Springfield,2022-04-17,93.3,81.7,0.0,2022-04-17,2022,4,17,34.1
Springfield,2022-04-18,67.6,87.0,0.0,2022-04-18,2022,4,18,19.8
Springfield,2022-04-19,68.9,38.8,0.0,2022-04-19,2022,4,19,20.5
Springfield,2022-04-20,63.9,85.6,0.1,2022-04-20,2022,4,20,17.7
Springfield,2022-04-21,36.2,59.5,0.3,2022-04-21,2022,4,21,2.3
Springfield,2022-04-22,64.6,45.5,0.0,2022-04-22,2022,4,22,18.1
Springfield,2022-04-23,65.9,57.5,0.0,2022-04-23,2022,4,23,18.8
Springfield,2022-04-24,101.9,88.8,0.0,2022-04-24,2022,4,24,38.8
Springfield,2022-04-25,62.1,59.6,0.5,2022-04-25,2022,4,25,16.7
Springfield,2022-04-26,69.5,49.7,0.3,2022-04-26,2022,4,26,20.8
Springfield,2022-04-27,64.5,68.0,0.0,2022-04-27,2022,4,27,18.1
Springfield,2022-04-29,82.1,34.6,0.1,2022-04-29,2022,4,29,27.8
Springfield,2022-04-30,76.3,37.7,0.0,2022-04-30,2022,4,30,24.6
Springfield,2022-05-01,76.9,37.7,0.5,2022-05-01,2022,5,1,24.9
Springfield,2022-05-02,51.4,39.1,0.0,2022-05-02,2022,5,2,10.8
Springfield,2022-05-03,86.0,38.3,0.0,2022-05-03,2022,5,3,30.0
Springfield,2022-05-04,44.0,68.5,0.0,2022-05-04,2022,5,4,6.7
Springfield,2022-05-05,73.8,40.9,0.0,2022-05-05,2022,5,5,23.2
Springfield,2022-05-06,97.9,50.7,0.0,2022-05-06,2022,5,6,36.6
Springfield,2022-05-07,50.1,83.8,0.1,2022-05-07,2022,5,7,10.1
Springfield,2022-05-08,56.5,58.4,0.0,2022-05-08,2022,5,8,13.6
Springfield,2022-05-09,66.5,70.1,0.1,2022-05-09,2022,5,9,19.2
Springfield,2022-05-10,57.4,40.3,0.0,2022-05-10,2022,5,10,14.1
Springfield,2022-05-11,41.7,41.5,0.0,2022-05-11,2022,5,11,5.4
Springfield,2022-05-12,66.0,32.5,0.0,2022-05-12,2022,5,12,18.9
Springfield,2022-05-13,49.1,40.1,0.0,2022-05-13,2022,5,13,9.5
Springfield,2022-05-14,72.1,46.7,0.1,2022-05-14,2022,5,14,22.3
Springfield,2022-05-15,51.2,40.6,0.0,2022-05-15,2022,5,15,10.7
Springfield,2022-05-16,88.2,35.3,0.0,2022-05-16,2022,5,16,31.2
Springfield,2022-05-17,53.3,37.2,0.0,2022-05-17,2022,5,17,11.8
Springfield,2022-05-18,60.2,57.6,0.1,2022-05-18,2022,5,18,15.7
Springfield,2022-05-19,77.2,42.4,0.5,2022-05-19,2022,5,19,25.1
Springfield,2022-05-20,46.5,51.9,0.1,2022-05-20,2022,5,20,8.1
Springfield,2022-05-21,68.4,60.2,0.0,2022-05-21,2022,5,21,20.2
Springfield,2022-05-22,84.6,71.4,0.0,2022-05-22,2022,5,22,29.2
Springfield,2022-05-23,40.9,32.4,0.0,2022-05-23,2022,5,23,4.9
Springfield,2022-05-24,67.8,78.0,0.0,2022-05-24,2022,5,24,19.9
Springfield,2022-05-25,68.9,67.7,0.0,2022-05-25,2022,5,25,20.5
Springfield,2022-05-26,76.7,34.9,0.0,2022-05-26,2022,5,26,24.8
Springfield,2022-05-27,46.4,82.4,0.0,2022-05-27,2022,5,27,8.0
Springfield,2022-05-28,45.2,85.3,0.0,2022-05-28,2022,5,28,7.3
Springfield,2022-05-29,72.8,33.7,0.1,2022-05-29,2022,5,29,22.7
Springfield,2022-05-30,69.5,46.6,0.0,2022-05-30,2022,5,30,20.8
Springfield,2022-05-31,68.8,78.4,0.0,2022-05-31,2022,5,31,20.4
Springfield,2022-06-01,70.2,74.9,0.1,2022-06-01,2022,6,1,21.2
Springfield,2022-06-02,54.8,41.1,0.0,2022-06-02,2022,6,2,12.7
Springfield,2022-06-03,68.5,42.6,0.1,2022-06-03,2022,6,3,20.3
Springfield,2022-06-04,69.4,52.2,0.0,2022-06-04,2022,6,4,20.8
Springfield,2022-06-05,54.3,59.1,0.0,2022-06-05,2022,6,5,12.4
Springfield,2022-06-06,93.0,67.1,0.3,2022-06-06,2022,6,6,33.9
Springfield,2022-06-07,72.1,52.1,0.1,2022-06-07,2022,6,7,22.3
Springfield,2022-06-08,47.1,57.8,0.1,2022-06-08,2022,6,8,8.4
Springfield,2022-06-09,74.8,74.8,0.0,2022-06-09,2022,6,9,23.8
Springfield,2022-06-10,50.4,32.2,0.0,2022-06-10,2022,6,10,10.2
Springfield,2022-06-11,76.8,45.1,0.0,2022-06-11,2022,6,11,24.9
Springfield,2022-06-12,82.4,72.8,0.0,2022-06-12,2022,6,12,28.0
Springfield,2022-06-13,52.7,83.7,0.5,2022-06-13,2022,6,13,11.5
Springfield,2022-06-15,71.2,61.9,1.0,2022-06-15,2022,6,15,21.8
Springfield,2022-06-17,93.5,56.8,0.0,2022-06-17,2022,6,17,34.2
Springfield,2022-06-18,61.3,62.0,0.0,2022-06-18,2022,6,18,16.3
Springfield,2022-06-19,53.7,44.5,0.3,2022-06-19,2022,6,19,12.1
Springfield,2022-06-20,51.7,46.2,0.1,2022-06-20,2022,6,20,10.9
Springfield,2022-06-21,52.8,52.6,0.3,2022-06-21,2022,6,21,11.6
Springfield,2022-06-22,63.8,31.2,0.1,2022-06-22,2022,6,22,17.7
Springfield,2022-06-23,70.1,49.3,0.1,2022-06-23,2022,6,23,21.2
Springfield,2022-06-24,69.2,42.7,0.3,2022-06-24,2022,6,24,20.7
Springfield,2022-06-25,77.4,49.6,0.0,2022-06-25,2022,6,25,25.2
Springfield,2022-06-27,86.8,83.4,0.0,2022-06-27,2022,6,27,30.4
Springfield,2022-06-28,61.0,65.6,1.0,2022-06-28,2022,6,28,16.1
Springfield,2022-06-29,105.8,70.7,0.5,2022-06-29,2022,6,29,41.0
Springfield,2022-06-30,74.4,77.4,0.0,2022-06-30,2022,6,30,23.6
Springfield,2022-07-01,52.1,59.9,0.1,2022-07-01,2022,7,1,11.2
Springfield,2022-07-02,48.9,35.2,0.5,2022-07-02,2022,7,2,9.4
Springfield,2022-07-03,72.2,62.2,0.0,2022-07-03,2022,7,3,22.3
Springfield,2022-07-04,61.6,65.2,0.0,2022-07-04,2022,7,4,16.4
Springfield,2022-07-05,75.7,74.7,0.5,2022-07-05,2022,7,5,24.3
Springfield,2022-07-06,72.1,55.9,0.0,2022-07-06,2022,7,6,22.3
Springfield,2022-07-07,63.9,37.7,0.1,2022-07-07,2022,7,7,17.7
Springfield,2022-07-08,52.3,47.0,0.0,2022-07-08,2022,7,8,11.3
Springfield,2022-07-09,42.3,51.8,0.5,2022-07-09,2022,7,9,5.7
Springfield,2022-07-10,58.3,68.8,1.0,2022-07-10,2022,7,10,14.6
Springfield,2022-07-11,77.8,64.2,0.5,2022-07-11,2022,7,11,25.4
Springfield,2022-07-12,68.2,51.4,0.0,2022-07-12,2022,7,12,20.1
Springfield,2022-07-13,46.3,89.2,0.3,2022-07-13,2022,7,13,7.9
Springfield,2022-07-14,67.6,66.3,0.3,2022-07-14,2022,7,14,19.8
Springfield,2022-07-16,51.7,36.1,0.3,2022-07-16,2022,7,16,10.9
Springfield,2022-07-17,67.3,39.2,0.0,2022-07-17,2022,7,17,19.6
Springfield,2022-07-18,65.9,44.8,0.0,2022-07-18,2022,7,18,18.8
Springfield,2022-07-19,47.9,39.6,0.0,2022-07-19,2022,7,19,8.8
Springfield,2022-07-20,70.4,41.2,0.0,2022-07-20,2022,7,20,21.3
Springfield,2022-07-21,73.4,47.1,0.0,2022-07-21,2022,7,21,23.0
Springfield,2022-07-22,81.2,40.4,0.1,2022-07-22,2022,7,22,27.3
Springfield,2022-07-23,80.8,83.8,0.0,2022-07-23,2022,7,23,27.1
Springfield,2022-07-24,44.3,34.8,0.1,2022-07-24,2022,7,24,6.8
Springfield,2022-07-25,50.9,61.5,0.0,2022-07-25,2022,7,25,10.5
Springfield,2022-07-27,72.7,88.9,0.0,2022-07-27,2022,7,27,22.6
Springfield,2022-07-28,72.7,36.7,0.1,2022-07-28,2022,7,28,22.6
Springfield,2022-07-31,82.0,81.9,0.3,2022-07-31,2022,7,31,27.8
Springfield,2022-08-01,79.3,79.0,0.1,2022-08-01,2022,8,1,26.3
Springfield,2022-08-02,74.8,45.5,0.0,2022-08-02,2022,8,2,23.8
Springfield,2022-08-04,76.4,70.1,0.3,2022-08-04,2022,8,4,24.7
Springfield,2022-08-05,53.4,85.8,0.0,2022-08-05,2022,8,5,11.9
Springfield,2022-08-06,61.4,63.4,0.3,2022-08-06,2022,8,6,16.3
Springfield,2022-08-07,57.7,64.3,0.0,2022-08-07,2022,8,7,14.3
Springfield,2022-08-08,66.2,46.8,0.5,2022-08-08,2022,8,8,19.0
Springfield,2022-08-10,37.0,41.2,1.0,2022-08-10,2022,8,10,2.8
Springfield,2022-08-11,75.3,49.4,0.0,2022-08-11,2022,8,11,24.1
Springfield,2022-08-12,40.8,55.5,0.1,2022-08-12,2022,8,12,4.9
Springfield,2022-08-13,57.9,60.5,0.0,2022-08-13,2022,8,13,14.4
Springfield,2022-08-14,81.3,44.5,0.0,2022-08-14,2022,8,14,27.4
Springfield,2022-08-15,66.0,36.9,0.1,2022-08-15,2022,8,15,18.9
Springfield,2022-08-16,48.8,66.6,0.3,2022-08-16,2022,8,16,9.3
Springfield,2022-08-17,54.3,47.3,1.0,2022-08-17,2022,8,17,12.4
Springfield,2022-08-18,75.2,64.9,0.1,2022-08-18,2022,8,18,24.0
Springfield,2022-08-19,54.0,39.3,0.0,2022-08-19,2022,8,19,12.2
Springfield,2022-08-20,68.2,58.9,0.0,2022-08-20,2022,8,20,20.1
Springfield,2022-08-21,65.7,62.0,0.1,2022-08-21,2022,8,21,18.7
Springfield,2022-08-22,55.2,33.1,0.0,2022-08-22,2022,8,22,12.9
Springfield,2022-08-23,97.2,50.2,0.0,2022-08-23,2022,8,23,36.2
Springfield,2022-08-24,74.5,38.1,0.0,2022-08-24,2022,8,24,23.6
Springfield,2022-08-26,67.8,89.4,0.0,2022-08-26,2022,8,26,19.9
Springfield,2022-08-28,77.8,78.6,0.0,2022-08-28,2022,8,28,25.4
Springfield,2022-08-29,53.1,45.3,0.0,2022-08-29,2022,8,29,11.7
Springfield,2022-08-30,63.3,70.9,1.0,2022-08-30,2022,8,30,17.4
Springfield,2022-08-31,72.6,75.6,0.0,2022-08-31,2022,8,31,22.6
Springfield,2022-09-01,78.0,65.7,0.0,2022-09-01,2022,9,1,25.6
Springfield,2022-09-02,47.0,58.3,0.1,2022-09-02,2022,9,2,8.3
Springfield,2022-09-03,60.0,54.7,0.0,2022-09-03,2022,9,3,15.6
Springfield,2022-09-04,57.9,50.9,0.5,2022-09-04,2022,9,4,14.4
Springfield,2022-09-05,55.2,85.8,0.1,2022-09-05,2022,9,5,12.9
Springfield,2022-09-06,91.5,79.8,0.0,2022-09-06,2022,9,6,33.1
Springfield,2022-09-07,71.1,87.9,0.0,2022-09-07,2022,9,7,21.7
Springfield,2022-09-08,46.1,37.5,0.3,2022-09-08,2022,9,8,7.8
Springfield,2022-09-09,78.8,73.9,0.5,2022-09-09,2022,9,9,26.0
Springfield,2022-09-10,96.8,86.3,0.0,2022-09-10,2022,9,10,36.0
Springfield,2022-09-11,80.5,40.9,0.1,2022-09-11,2022,9,11,26.9
Springfield,2022-09-12,42.2,34.0,0.0,2022-09-12,2022,9,12,5.7
Springfield,2022-09-13,57.7,74.5,1.0,2022-09-13,2022,9,13,14.3
Springfield,2022-09-14,84.0,64.5,0.0,2022-09-14,2022,9,14,28.9
Springfield,2022-09-15,54.4,80.5,0.5,2022-09-15,2022,9,15,12.4
Springfield,2022-09-16,71.7,38.4,0.1,2022-09-16,2022,9,16,22.1
Springfield,2022-09-17,76.6,77.7,0.1,2022-09-17,2022,9,17,24.8
Springfield,2022-09-18,51.1,42.1,0.0,2022-09-18,2022,9,18,10.6
Springfield,2022-09-19,64.1,39.8,0.0,2022-09-19,2022,9,19,17.8
Springfield,2022-09-20,16.4,39.9,0.0,2022-09-20,2022,9,20,-8.7
Springfield,2022-09-21,49.6,78.9,0.0,2022-09-21,2022,9,21,9.8
Springfield,2022-09-22,61.2,69.9,0.0,2022-09-22,2022,9,22,16.2
Springfield,2022-09-23,46.3,61.4,0.1,2022-09-23,2022,9,23,7.9
Springfield,2022-09-24,89.5,51.5,0.0,2022-09-24,2022,9,24,31.9
Springfield,2022-09-25,43.5,82.6,0.0,2022-09-25,2022,9,25,6.4
Springfield,2022-09-26,58.4,53.5,1.0,2022-09-26,2022,9,26,14.7
Springfield,2022-09-27,67.0,79.0,0.3,2022-09-27,2022,9,27,19.4
Springfield,2022-09-28,86.6,56.3,0.5,2022-09-28,2022,9,28,30.3
Springfield,2022-09-29,43.5,52.6,1.0,2022-09-29,2022,9,29,6.4
Springfield,2022-09-30,82.4,57.8,0.0,2022-09-30,2022,9,30,28.0
Springfield,2022-10-01,65.2,48.1,0.0,2022-10-01,2022,10,1,18.4
Springfield,2022-10-02,50.3,74.9,0.1,2022-10-02,2022,10,2,10.2
Springfield,2022-10-03,71.9,60.2,0.1,2022-10-03,2022,10,3,22.2
Springfield,2022-10-04,68.0,43.9,0.0,2022-10-04,2022,10,4,20.0
Springfield,2022-10-05,56.0,84.0,0.3,2022-10-05,2022,10,5,13.3
Springfield,2022-10-06,66.0,53.0,0.0,2022-10-06,2022,10,6,18.9
Springfield,2022-10-07,59.2,62.6,0.0,2022-10-07,2022,10,7,15.1
Springfield,2022-10-08,66.7,84.4,0.0,2022-10-08,2022,10,8,19.3
Springfield,2022-10-09,74.9,67.5,0.0,2022-10-09,2022,10,9,23.8
Springfield,2022-10-10,88.8,37.0,0.0,2022-10-10,2022,10,10,31.6
Springfield,2022-10-11,46.4,86.4,0.0,2022-10-11,2022,10,11,8.0
Springfield,2022-10-12,97.0,67.7,0.3,2022-10-12,2022,10,12,36.1
Springfield,2022-10-13,35.7,50.1,0.0,2022-10-13,2022,10,13,2.1
Springfield,2022-10-15,73.8,77.6,0.3,2022-10-15,2022,10,15,23.2
Springfield,2022-10-16,69.2,67.2,1.0,2022-10-16,2022,10,16,20.7
Springfield,2022-10-17,55.7,62.0,0.3,2022-10-17,2022,10,17,13.2
Springfield,2022-10-18,61.9,83.6,0.3,2022-10-18,2022,10,18,16.6
Springfield,2022-10-19,57.6,77.3,0.1,2022-10-19,2022,10,19,14.2
Springfield,2022-10-20,56.2,39.1,0.0,2022-10-20,2022,10,20,13.4
Springfield,2022-10-21,77.7,48.7,0.0,2022-10-21,2022,10,21,25.4
Springfield,2022-10-22,70.4,44.9,0.0,2022-10-22,2022,10,22,21.3
Springfield,2022-10-23,54.6,74.6,0.0,2022-10-23,2022,10,23,12.6
Springfield,2022-10-24,78.5,32.0,0.0,2022-10-24,2022,10,24,25.8
Springfield,2022-10-25,69.6,64.2,0.1,2022-10-25,2022,10,25,20.9
Springfield,2022-10-26,77.2,75.7,0.0,2022-10-26,2022,10,26,25.1
Springfield,2022-10-27,74.4,82.6,0.0,2022-10-27,2022,10,27,23.6
Springfield,2022-10-28,52.6,50.5,0.0,2022-10-28,2022,10,28,11.4
Springfield,2022-10-29,56.6,79.3,0.1,2022-10-29,2022,10,29,13.7
Springfield,2022-10-30,76.2,36.6,0.0,2022-10-30,2022,10,30,24.6
Springfield,2022-10-31,74.2,80.8,0.3,2022-10-31,2022,10,31,23.4
Springfield,2022-11-01,64.7,37.6,0.0,2022-11-01,2022,11,1,18.2
Springfield,2022-11-02,66.8,53.8,0.0,2022-11-02,2022,11,2,19.3
Springfield,2022-11-03,84.2,77.8,0.0,2022-11-03,2022,11,3,29.0
Springfield,2022-11-04,56.1,39.0,0.3,2022-11-04,2022,11,4,13.4
Springfield,2022-11-05,73.2,43.8,0.0,2022-11-05,2022,11,5,22.9
Springfield,2022-11-06,62.0,73.3,0.1,2022-11-06,2022,11,6,16.7
Springfield,2022-11-08,81.5,68.5,0.0,2022-11-08,2022,11,8,27.5
Springfield,2022-11-09,77.4,71.6,0.3,2022-11-09,2022,11,9,25.2
Springfield,2022-11-10,77.2,62.6,0.1,2022-11-10,2022,11,10,25.1
Springfield,2022-11-11,84.6,45.1,0.1,2022-11-11,2022,11,11,29.2
Springfield,2022-11-12,65.3,50.7,0.3,2022-11-12,2022,11,12,18.5
Springfield,2022-11-13,75.2,40.9,0.3,2022-11-13,2022,11,13,24.0
Springfield,2022-11-14,60.3,84.5,0.1,2022-11-14,2022,11,14,15.7
Springfield,2022-11-15,69.9,65.0,0.3,2022-11-15,2022,11,15,21.1
Springfield,2022-11-16,63.0,54.1,0.1,2022-11-16,2022,11,16,17.2
Springfield,2022-11-18,73.9,86.8,0.1,2022-11-18,2022,11,18,23.3
Springfield,2022-11-19,52.7,39.2,0.1,2022-11-19,2022,11,19,11.5
Springfield,2022-11-20,96.4,65.2,0.0,2022-11-20,2022,11,20,35.8
Springfield,2022-11-21,49.9,60.4,0.3,2022-11-21,2022,11,21,9.9
Springfield,2022-11-22,46.8,66.7,0.3,2022-11-22,2022,11,22,8.2
Springfield,2022-11-23,82.4,31.1,0.0,2022-11-23,2022,11,23,28.0
Springfield,2022-11-24,76.9,82.3,0.3,2022-11-24,2022,11,24,24.9
Springfield,2022-11-25,74.4,85.9,0.0,2022-11-25,2022,11,25,23.6
Springfield,2022-11-26,74.4,63.9,0.0,2022-11-26,2022,11,26,23.6
Springfield,2022-11-27,64.8,71.8,0.1,2022-11-27,2022,11,27,18.2
Springfield,2022-11-28,51.5,85.3,0.0,2022-11-28,2022,11,28,10.8
Springfield,2022-11-29,66.1,72.4,0.3,2022-11-29,2022,11,29,18.9
Springfield,2022-11-30,54.8,39.2,0.3,2022-11-30,2022,11,30,12.7
Springfield,2022-12-01,79.6,64.6,0.0,2022-12-01,2022,12,1,26.4
Springfield,2022-12-02,62.8,66.4,0.0,2022-12-02,2022,12,2,17.1
Springfield,2022-12-03,52.6,55.4,0.0,2022-12-03,2022,12,3,11.4
Springfield,2022-12-04,60.2,74.2,0.1,2022-12-04,2022,12,4,15.7
Springfield,2022-12-05,71.2,86.1,1.0,2022-12-05,2022,12,5,21.8
Springfield,2022-12-06,56.5,85.5,0.1,2022-12-06,2022,12,6,13.6
Springfield,2022-12-07,52.7,57.1,0.0,2022-12-07,2022,12,7,11.5
Springfield,2022-12-08,68.7,36.8,0.1,2022-12-08,2022,12,8,20.4
Springfield,2022-12-09,68.7,89.1,0.0,2022-12-09,2022,12,9,20.4
Springfield,2022-12-10,57.4,80.3,0.1,2022-12-10,2022,12,10,14.1
Springfield,2022-12-11,57.9,37.5,0.0,2022-12-11,2022,12,11,14.4
Springfield,2022-12-12,68.5,85.3,0.1,2022-12-12,2022,12,12,20.3
Springfield,2022-12-14,43.9,61.1,1.0,2022-12-14,2022,12,14,6.6
Springfield,2022-12-15,54.2,65.5,0.0,2022-12-15,2022,12,15,12.3
Springfield,2022-12-16,61.8,53.9,0.1,2022-12-16,2022,12,16,16.6
Springfield,2022-12-17,69.7,33.3,0.5,2022-12-17,2022,12,17,20.9
